time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.5766003974e-07,1.159903724e-07,10.0071865322,0.000108153511243,0.000141445292238,0.0,-1.438990592e-05,1.07748994533e-05,0.239530876089,0.00518400952705,0.00669867555505,0.0,478.9023678637077,479.4114817991494,478.9110105964513,479.30504535076864
0.12000000000000001,-5.39631393361e-06,3.73965111323e-06,10.0221737706,9.61807995861e-05,0.000960541853994,0.0,-0.00021779115546,0.000126288843174,0.260039060446,-0.0140504229602,0.024820490654,0.0,409.9553099662396,411.56203272163907,412.03908410394234,410.33542664994263
0.18,-4.58432246387e-05,1.00938998711e-05,10.0423073984,6.28254926093,0.00237530237074,0.0,-0.00128960725971,-5.16551081957e-07,0.411038755253,-0.00874511568721,0.0209740507377,0.0,452.7996918377974,452.49024827256534,452.91078353179415,453.3373291866447
0.23999999999999996,-0.000189752923174,-8.65794779676e-06,10.074748691,6.28170016795,0.00379365376162,0.0,-0.00367574603526,-0.000706805006848,0.670221112849,-0.0280788982371,0.0284972571733,0.0,485.32477293605376,485.8890301602029,485.11812599531106,483.6645286213095
0.3,-0.000495219533525,-8.81965109076e-05,10.1179484137,6.27965872319,0.00558218054788,0.0,-0.00668463557345,-0.00213023565714,0.769706261023,-0.0498673114442,0.0323102264366,0.0,437.71401188842225,438.0314612041628,437.47048293347444,435.65210173385395
0.36000000000000004,-0.00101677616914,-0.00029876189172,10.1667661941,6.27673605541,0.00731672486235,0.0,-0.0108852962974,-0.0051845696557,0.857488401188,-0.0464943465699,0.0210517093146,0.0,433.52675645130216,432.5801221748548,434.0711999580284,434.3525974063006
0.4200000000000001,-0.00184248694092,-0.000768844952343,10.2234237754,6.27418738665,0.00826233542479,0.0,-0.0167653398045,-0.0107840234284,1.03095380607,-0.0354612644479,0.00222334743965,0.0,461.2133829768629,459.7240160832976,459.8843741539808,460.7563973153333
0.48000000000000015,-0.00302457571939,-0.0016153667178,10.2888904615,6.27231008019,0.00821773662408,0.0,-0.0226421796339,-0.0176414043602,1.15115324047,-0.0240326783409,-0.00745823696828,0.0,444.06248783938537,443.2677009688615,444.5863142004023,445.5212430073377
0.5400000000000001,-0.00452142179983,-0.00286281478068,10.3572567592,6.27080344218,0.00816119180543,0.0,-0.0272338493982,-0.0240638484168,1.12774555477,-0.0273584063576,0.00965061709475,0.0,396.75014504610255,398.3177209373289,397.0375640826722,396.7321652364282
0.6000000000000002,-0.00631830442885,-0.00455386928847,10.4267674344,6.26938999456,0.00981400321234,0.0,-0.0327821903086,-0.0324500667343,1.18921161579,-0.0168726824091,0.0498617588074,0.0,423.6770877627216,427.1201876107633,425.78446861052555,426.6804008569546
0.6600000000000003,-0.0085133927218,-0.00680809626346,10.5024367573,6.26794924347,0.0130595393612,0.0,-0.0407253256854,-0.0428146307822,1.33293657829,-0.0447795150799,0.0614342870129,0.0,451.4583382608297,452.39288984942874,453.213807099517,450.9652897871075
0.7200000000000003,-0.0113204079575,-0.00979310218575,10.5911972463,6.26520688691,0.0163369332269,0.0,-0.0532985302403,-0.0570337703752,1.62536477474,-0.0476257224739,0.0353281279179,0.0,497.0735471538121,495.1584787714105,495.9349956159313,495.72493018270757
0.7800000000000004,-0.0149108830964,-0.0136495198796,10.6945237277,6.26223018372,0.0183331669443,0.0,-0.0666179490624,-0.0718455006227,1.81855281201,-0.0539115193888,0.0288013030459,0.0,468.5892298188487,468.081992664724,468.19042359038934,467.6997366508655
0.8400000000000004,-0.0192701717087,-0.018378324377,10.8053906819,6.25940076111,0.0199735728104,0.0,-0.0788516132109,-0.0860673711943,1.87690762119,-0.0362511489816,0.0242451661685,0.0,427.55030103354846,427.1621844544679,425.6090965464926,427.11629658545985
0.9000000000000005,-0.0244572263703,-0.0240860912212,10.9228571426,6.25786140841,0.0214543153883,0.0,-0.0942078868421,-0.104384974828,2.03835748633,-0.0101466624468,0.0255328709681,0.0,459.05352995267924,459.1557633582545,458.7984561944077,460.86603956288377
0.9600000000000005,-0.0306105340086,-0.0309334163615,11.0504877666,6.25778500935,0.0235494906703,0.0,-0.111106395251,-0.123885174349,2.21566269712,0.0122821443256,0.0490723103004,0.0,464.1982067973597,466.0420689044883,463.6805675584451,465.4391738360906
1.0200000000000005,-0.0376979263447,-0.0388069618026,11.1832223184,6.25921381809,0.0266510925538,0.0,-0.125401505373,-0.138468004448,2.20883009243,0.0403221560541,0.0564767527684,0.0,405.689042499772,406.3553093422752,406.1492883090968,408.6564561469453
1.0800000000000005,-0.0457685774996,-0.0475864558594,11.3181135482,6.26149999705,0.0296642076358,0.0,-0.143937036757,-0.153945729496,2.28738485999,0.0332488738466,0.0331877718581,0.0,435.5256514358214,433.57506162247364,435.67177808147113,435.08072749602485
1.1400000000000006,-0.0550975774328,-0.0573143289333,11.4607457457,6.26400032643,0.031653250731,0.0,-0.167245214418,-0.170049539088,2.46664876999,0.0546855270158,0.0330765229334,0.0,466.8213971242316,466.8130885746473,465.2206113276096,466.89681140904827
1.2000000000000006,-0.0658637020429,-0.0679418998855,11.6139056667,6.26731305456,0.0336620112698,0.0,-0.191838697188,-0.183825431262,2.63829917488,0.0562446824572,0.034272892208,0.0,465.1053445066515,465.19942247909927,464.6534030391802,464.77751866938223
